k_mer,partition_size,time_seconds,memory_MB
2,16,7.831467,0.05
2,32,5.951726,0.05
2,64,4.148408,0.05
2,128,3.27702,0.05
2,256,3.033894,0.05
3,16,8.007814,0.98
3,32,6.004709,0.98
3,64,4.183908,0.98
3,128,3.418103,0.98
3,256,2.94237,0.98
4,16,9.669526,19.53
4,32,7.052065,19.53
4,64,4.595941,19.53
4,128,3.602384,19.53
4,256,3.374146,19.53
