k_mer,partition_size,time_seconds,memory_MB
2,16,0.786699,0.05
2,32,0.518052,0.05
2,64,0.399875,0.05
2,128,0.324504,0.05
2,256,0.283942,0.05
3,16,0.757588,0.98
3,32,0.517339,0.98
3,64,0.40497,0.98
3,128,0.333451,0.98
3,256,0.291793,0.98
4,16,0.762665,19.53
4,32,0.538681,19.53
4,64,0.430356,19.53
4,128,0.355651,19.53
4,256,0.309336,19.53
