k_mer,partition_size,time_seconds,memory_MB
2,16,8.552799,0.05
2,32,5.174730,0.05
2,64,3.903733,0.05
2,128,3.579170,0.05
2,256,2.823614,0.05
3,16,8.578104,0.98
3,32,5.521201,0.98
3,64,3.918465,0.98
3,128,3.286933,0.98
3,256,2.977002,0.98
4,16,9.105733,19.53
4,32,5.957564,19.53
4,64,4.809130,19.53
4,128,3.892217,19.53
4,256,3.312328,19.53
